Ref,Val,Package,PosX,PosY,Rot,Side
"D1","~","NH-B1212RGBA-HF",118.365000,-74.435000,0.000000,top
"D3","~","NH-B1212RGBA-HF",121.365000,-74.435000,0.000000,top
"D4","~","NH-B1212RGBA-HF",124.365000,-74.435000,0.000000,top
"D5","~","NH-B1212RGBA-HF",127.365000,-74.435000,0.000000,top
"D6","~","NH-B1212RGBA-HF",130.365000,-74.435000,0.000000,top
"D7","~","NH-B1212RGBA-HF",115.365000,-77.435000,0.000000,top
"D8","~","NH-B1212RGBA-HF",118.365000,-77.435000,0.000000,top
"D9","~","NH-B1212RGBA-HF",121.365000,-77.435000,0.000000,top
"D10","~","NH-B1212RGBA-HF",124.365000,-77.435000,0.000000,top
"D11","~","NH-B1212RGBA-HF",127.365000,-77.435000,0.000000,top
"D12","~","NH-B1212RGBA-HF",130.365000,-77.435000,0.000000,top
"D13","~","NH-B1212RGBA-HF",115.365000,-80.435000,180.000000,top
"D14","~","NH-B1212RGBA-HF",118.365000,-80.435000,180.000000,top
"D15","~","NH-B1212RGBA-HF",121.365000,-80.435000,0.000000,top
"D16","~","NH-B1212RGBA-HF",124.365000,-80.435000,180.000000,top
"D17","~","NH-B1212RGBA-HF",127.365000,-80.435000,180.000000,top
"D18","~","NH-B1212RGBA-HF",130.365000,-80.435000,180.000000,top
"D19","~","NH-B1212RGBA-HF",115.365000,-83.435000,0.000000,top
"D20","~","NH-B1212RGBA-HF",118.365000,-83.435000,0.000000,top
"D21","~","NH-B1212RGBA-HF",121.365000,-83.435000,180.000000,top
"D22","~","NH-B1212RGBA-HF",124.365000,-83.435000,180.000000,top
"D23","~","NH-B1212RGBA-HF",127.365000,-83.435000,0.000000,top
"D24","~","NH-B1212RGBA-HF",130.365000,-83.435000,0.000000,top
"D25","~","NH-B1212RGBA-HF",115.365000,-86.435000,180.000000,top
"D26","~","NH-B1212RGBA-HF",118.365000,-86.435000,180.000000,top
"D27","~","NH-B1212RGBA-HF",121.365000,-86.435000,180.000000,top
"D28","~","NH-B1212RGBA-HF",124.365000,-86.435000,180.000000,top
"D29","~","NH-B1212RGBA-HF",127.365000,-86.435000,180.000000,top
"D30","~","NH-B1212RGBA-HF",130.365000,-86.435000,180.000000,top
"D31","~","NH-B1212RGBA-HF",115.365000,-89.435000,180.000000,top
"D32","~","NH-B1212RGBA-HF",118.365000,-89.435000,180.000000,top
"D33","~","NH-B1212RGBA-HF",121.365000,-89.435000,180.000000,top
"D34","~","NH-B1212RGBA-HF",124.365000,-89.435000,180.000000,top
"D35","~","NH-B1212RGBA-HF",127.365000,-89.435000,180.000000,top
"D36","~","NH-B1212RGBA-HF",130.365000,-89.435000,180.000000,top
"D40","~","NH-B1212RGBA-HF",115.365000,-74.435000,0.000000,top
"J1","~","USB_PCBEDGE",71.500000,-60.000000,45.000000,top
"J2","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",87.580000,-63.000000,90.000000,top
"R74","0Ω","R_0603_1608Metric",77.400000,-70.900000,-45.000000,top
"R75","0Ω","R_0603_1608Metric",79.200000,-69.200000,-45.000000,top
"R76","0Ω","R_0603_1608Metric",80.700000,-67.700000,-45.000000,top
"R77","0Ω","R_0603_1608Metric",82.500000,-66.000000,-45.000000,top
